station_name,start_count,start_member_count,start_casual_count,end_count,end_member_count,end_casual_count,avg_lat,avg_lng,type,public transportation
14th & Upshur St NW,14176,9600,4576,12348,8156,4192,38.94247237937485,-77.03267127035267,Work,
14th & V St NW,117203,81112,36091,117435,80387,37048,38.91778002186694,-77.03208227124061,Entertainment,Bus
14th St & Colorado Ave NW,15850,9761,6089,13011,7999,5012,38.95642440163962,-77.03294973055532,Living,Metro
14th St & Luzon Ave NW,3699,2704,995,3390,2230,1160,38.96947711526931,-77.0335009858751,Living,Bus
14th St & Marion Barry Ave SE,757,583,174,764,537,227,38.86661068347446,-76.98522084551739,Work,
14th St & New York Ave NW,26589,14479,12110,32602,18168,14434,38.89963077334069,-77.0316842078913,Work,Metro
14th St & Rhode Island Ave NW,37425,24213,13212,36835,23902,12933,38.90860076481714,-77.03230125164629,Living,Bus
14th St & Spring Rd NW,39292,25913,13379,34983,24136,10847,38.93748966169278,-77.03280924206788,Living,Bus
14th St Heights / 14th & Crittenden St NW,7483,4698,2785,6682,4363,2319,38.94774001222335,-77.0328329569318,Work,Bus
15th & East Capitol St NE,26912,19879,7033,25947,18878,7069,38.889910229956115,-76.98334407315167,Work,Metro
15th & Euclid St  NW,16585,11830,4755,10698,7563,3135,38.92334079028218,-77.03518609972089,Work,
15th & Euclid St NW,40517,27837,12680,35271,24719,10552,38.92334526846844,-77.0351776550215,Living,
15th & F St NE,23744,17653,6091,24063,18193,5870,38.89718711828401,-76.98357947311203,Living,Metro
15th & Harvard St NW,4717,3347,1370,3711,2708,1003,38.92612033589319,-77.0354353127874,Entertainment,
15th & K St NW,29614,18585,11029,32907,20518,12389,38.90200567456943,-77.03353991840763,Work,Bus
15th & L St NW,38924,24719,14205,40923,26581,14342,38.90366702121378,-77.0349166866445,Living,Bus
15th & M St NW,50906,33212,17694,49530,33408,16122,38.90542125665263,-77.0346570984472,Living,
15th & P St NW,140833,103594,37239,143402,106064,37338,38.909813095174606,-77.03442694338226,Work,Bus
15th & W St NW,96425,64663,31762,96947,66403,30544,38.91902179247996,-77.03445699510982,Work,Metro
15th St & Constitution Ave NW,72157,16616,55541,77291,17923,59368,38.89224632266884,-77.03323151165186,Work,
15th St & Massachusetts Ave SE,27826,21242,6584,27468,21208,6260,38.887319310618224,-76.98357171084278,Entertainment,Bus
15th St & N Scott St,12150,6974,5176,10846,6546,4300,38.8905404440128,-77.08094186800352,Living,Metro
15th St & New York Ave NW,13994,7441,6553,15270,7324,7946,38.89902904441488,-77.03335109118288,Entertainment,
15th St & Pennsylvania Ave NW,53425,14531,38894,58975,16607,42368,38.896463083539956,-77.03337790743491,Living,Metro
16th & Bangor St SE,463,117,346,421,104,317,38.86048689150108,-76.98357549789094,Work,Bus
16th & Harvard St NW,47474,31159,16315,31961,22115,9846,38.92610105340544,-77.03662937475896,Living,Metro
