Unnamed: 0,stations,type,public transportation
598,Merrilee Dr & Lauren Elizabeth Lane,Living,Bus
599,Shady Grove Metro West,Work,
600,North Bethesda Metro,Work,Metro
601,Tysons Metro North,Entertainment,Metro
602,Congressional Ln & E Jefferson St,Living,Metro
603,Deanwood Rec Center,Living,Metro
604,Lee Center,Entertainment,Metro
605,S Four Mile Run Dr & Shirlington Rd,Work,
606,Pooks Hill Rd & Linden Ave,Work,
607,12th St N & N Pierce St,Living,Bus
608,Reston Town Center Transit Station,Entertainment,Metro
609,8th Rd & S Frederick St,Entertainment,Metro
610,West Falls Church Metro,Living,Metro
611,31st St & S Woodrow St,Entertainment,Bus
612,Nannie Helen Burroughs Ave & 49th St NE,Living,
613,Reston YMCA,Work,Metro
614,Alabama Ave & Stanton Rd SE / Shops at Park Village,Living,
615,Langston Blvd & N Kirkwood Rd,Living,Bus
616,E Fairfax St & S Washington St,Living,Bus
617,Founders Row/W Broad St & West St,Entertainment,
618,Library St & Freedom Dr,Work,Bus
619,Georgia Ave & Spring St,Work,
620,Lee Hwy & N Adams St,Entertainment,
621,S George Mason Dr & S Four Mile Run Dr,Work,
622,S Kenmore St & 24th St S,Entertainment,Metro
623,District Ave & Strawberry Ln/Mosaic Market Garage,Entertainment,
624,Washington Blvd & N Frederick St,Entertainment,Bus
625,W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,Living,Metro
626,Rockville Pike & Old Georgetown Rd,Work,
627,Riggs Rd & East West Hwy,Work,
628,Windham Ln & Amherst Ave,Living,
629,New Mexico & Cathedral Ave NW,Entertainment,Bus
630,N Hampton Dr & Ford Ave,Entertainment,Metro
631,44th St & New Mexico Ave NW,Work,
632,King Farm Blvd & Piccard Dr,Work,Metro
633,Benning Branch Library,Living,
634,Garland Ave & Walden Rd,Work,
635,S Washington St & Wilkes St,Entertainment,
636,Dennis Ave & Amherst Ave,Work,Metro
637,Eden Center,Entertainment,Bus
638,12th & Varnum St NE,Work,
639,Virginia Hospital Center,Living,Bus
640,Lyttonsville Rd & Lyttonsville Pl,Living,
641,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,Work,
642,Greenbelt Station Parkway,Work,Bus
643,Columbia Pike & S Highland St,Work,Bus
644,Executive Blvd & E Jefferson St,Entertainment,Metro
645,South Capitol & Atlantic St SW,Entertainment,
646,Valley Ave & Wheeler Rd SE,Entertainment,Metro
647,New Hampshire & Kirklynn Ave,Living,
648,Kenmore St & 24th St S,Entertainment,Metro
649,Wheeler Ave & S. Floyd St.,Entertainment,Metro
650,E Montgomery Ave & Maryland Ave,Living,Bus
651,Wiehle-Reston Metro South,Work,Metro
652,Tysons Corner Station,Living,Bus
653,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,Entertainment,Metro
654,Livingston Rd & 3rd St SE,Entertainment,
655,Northwestern High School,Living,Metro
656,Randle Circle & Minnesota Ave SE,Work,Metro
657,Sunset Hills & Old Reston Ave,Entertainment,Bus
658,Columbia Pike & George Mason Dr,Work,
659,Hyattsville Library / Adelphi Rd & Toledo Rd,Living,Bus
660,Capitol Heights Metro,Living,
661,Kenilworth Terr & Hayes St. NE,Work,Bus
662,Castle Blvd & Castle Ln,Entertainment,Metro
663,Amherst Ave & Elkins St,Living,Metro
664,Good Hope & Naylor Rd SE,Work,Bus
665,Fairfax Village,Living,
666,Wiehle Ave & Reston Station Blvd,Entertainment,Metro
667,Vy Reston Heights,Entertainment,Bus
668,Spring St & 2nd Ave,Entertainment,
669,Westpark Dr & Leesburg Pike,Living,Metro
670,N Howard St & Taney Ave,Work,
671,S Wayne St and 9th St S,Living,Bus
672,Monroe St & Monroe Pl,Work,Metro
673,S Pickett St & Shillings St,Entertainment,Metro
674,Lee Hwy & N Cleveland St,Living,Bus
675,Fallsgrove Dr & W Montgomery Ave,Entertainment,Metro
676,Shady Grove Metro East,Entertainment,
677,Kenilworth Terrace & Hayes St. NE,Living,
678,Nannie Helen Burroughs & Minnesota Ave NE,Entertainment,
679,Largo Town Center Metro,Work,
680,Temporary Rd & Old Reston Ave,Work,Metro
681,Westpark & Jones Branch Dr,Living,
682,Grandview & Blueridge Ave,Work,
683,Fallsgrove Blvd & Fallsgrove Dr,Work,
684,Key Blvd & N Quinn St,Entertainment,
685,Wheaton Library & Community Rec Center,Work,Bus
686,Fleet St & Ritchie Pkwy,Work,Metro
687,W&OD Trail & Explorer St/Reston Bus Station,Entertainment,Bus
688,Briggs Chaney Park & Ride,Entertainment,Metro
689,Town Center Pkwy & Sunset Hills Rd,Work,Bus
690,New Dominion Pkwy & Fountain Dr,Entertainment,
691,Lee Hwy & N Monroe St,Work,Bus
692,S Wakefield St & 28th St S,Living,
693,W&OD Trail/Sunset Hills Rd & Old Reston Ave,Work,Metro
694,61st St & Banks Pl NE,Living,Metro
695,Philadelphia & Maple Ave,Entertainment,
696,Division Ave & Foote St NE,Work,Bus
697,Spring Hill Metro,Work,Bus
698,Kenmore Ave & Seminary Rd,Entertainment,Metro
699,Langston Blvd & N Kirkwood St,Work,Metro
700,Lee Hwy & N Woodstock St,Living,Bus
701,White Flint Metro,Entertainment,
702,Radford St & Osage St,Work,Metro
703,King St & W Braddock Rd,Entertainment,
704,South Dakota Ave & Bladensburg Rd NE,Work,Metro
705,Fort Lincoln Dr & 33rd Pl NE,Work,Bus
706,Briggs Chaney & Castle Dr,Living,Metro
707,Sunset Hills Rd & Discovery Square,Entertainment,Metro
708,Lee Hwy & N Kirkwood Rd,Entertainment,Metro
709,MLK & Marion Barry Ave SE,Entertainment,Bus
710,Baron Cameron Ave & North Hampton Ave,Work,Metro
711,Rockville Metro East,Living,
712,Duke St & Jordan St,Work,Metro
713,Mississippi Ave & 19th St SE / THEARC,Living,
714,Rockville Metro West,Work,
715,North Shore Dr & Village Rd,Work,
716,Shirlington Transit Center / Quincy St & Randolph St,Living,Metro
717,Amherst Ave & Prichard Rd,Work,Bus
718,Takoma Park Rec Center,Work,Metro
719,Stanton Square SE,Entertainment,Metro
720,Pimmit Dr & Los Pueblos Ln,Living,Bus
721,Roosevelt Center & Crescent Rd,Living,Metro
722,53rd & D St SE/C.W. Harris Elementary,Living,Metro
723,Hartland Rd & Harte Pl,Entertainment,
724,Largo Rd & Campus Way / Prince Georges's Comm Col,Entertainment,Metro
725,Vienna Metro South,Work,Bus
726,Westpark & Park Run Dr,Entertainment,Metro
727,Columbus Ave & Tribeca St,Work,Bus
728,Needwood Rd & Eagles Head Ct,Work,Bus
729,Columbia Pike & S Taylor St,Living,
730,Town Center Pkwy & Bowman Towne Dr,Work,Bus
731,14th St & Marion Barry Ave SE,Work,
732,Ridge Heights Rd & Seahawks Dr,Entertainment,Metro
733,24th St & Rhode Island Ave NE,Work,Metro
734,Piccard & W Gude Dr,Work,
735,Golf Course Sq and Golf Course Dr,Living,Metro
736,Oxon Hill Park & Ride,Entertainment,
737,Blueridge Ave & Elkin St,Entertainment,
738,Tysons One Pl & Chain Bridge Rd,Entertainment,Metro
739,Key West Ave & Siesta Key Way,Entertainment,Bus
740,Virginia Theological Seminary,Entertainment,
741,Oak Leaf & Lockwood,Entertainment,Bus
742,Columbus Ave & Gramercy Blvd,Living,Metro
743,Frederick Ave & Horners Ln,Work,Metro
744,Market St & St Francis St,Work,
745,Fishers Ln & Rock Creek Mill Rd,Living,
746,Tysons Metro South,Work,
747,Columbia Pike & S Oakland St,Living,
748,Montgomery College / W Campus Dr & Mannakee St,Living,Metro
749,Greensboro & Pinnacle Dr,Living,Metro
750,S Jordan St & Venable St,Work,Bus
751,North Shore & Cameron Crescent Dr/Crescent Apartments,Entertainment,Metro
752,Jones Branch & Westbranch Dr,Living,Bus
753,Reston Pkwy & Spectrum Dr,Entertainment,Metro
754,White House,Entertainment,
755,6035 Warehouse,Entertainment,Bus
756,New Hampshire & Lockwood,Entertainment,Bus
757,17th St & Potomac Ave SE / Congressional Cemetery ,Entertainment,Metro
758,Jones Branch Dr & Blyton St,Entertainment,Bus
759,Southern Ave Metro,Entertainment,
760,Ridge Heights and Owl Cove Ln,Living,Metro
761,Columbia Pike & W&OD Trail ,Entertainment,Bus
762,Fort Stanton Rec Center,Entertainment,Bus
763,Whiting & Lane Dr,Work,Metro
764,Crescent Rd & Ridge Rd,Living,
765,Marymount University / Yorktown Blvd & 26th St N,Living,Metro
766,South Dakota Ave & 33rd St NE,Living,Metro
767,Key West Ave & Diamondback Dr,Living,
768,Fillmore & Bisdorf,Work,Bus
769,Jones Branch Drive & Scotts Crossing Rd,Entertainment,Metro
770,Corporate Blvd & Omega Dr,Work,Bus
771,Crystal Dr & Potomac Ave,Entertainment,Bus
772,Greensboro & International Dr,Living,Metro
773,Greensboro Metro East,Living,Bus
774,S Reynolds St & Edsall Rd,Living,
775,Soapstone Dr Convenience Center,Entertainment,Metro
776,South Capitol St and Southern Ave SE,Living,Bus
777,Reston Pkwy & Bennington Woods Rd,Living,Metro
778,South Gate Community Center,Work,Metro
779,George Mason High School / Haycock Rd & Leesburg Pike,Entertainment,Metro
780,Van Dorn Metro,Entertainment,Metro
781,Lake Newport Rd and Autumn Ridge Cir,Entertainment,Bus
782,Old Meadow Rd & Cathy Ln,Work,
783,White Oak Transit Center,Living,Metro
784,N Shore Dr & Wainwright Dr,Work,Bus
785,Traville Gateway Dr & Gudelsky Dr,Entertainment,Bus
786,Stewart Ln & Old Columbia Pike,Work,
787,Rockville Pike & Meeting St,Living,
788,South Lakes Dr and Reston Pkwy,Living,
789,Marion Barry Ave & Naylor Rd SE,Entertainment,
790,Stewart & April,Entertainment,
791,The Shoppes @ Burnt Mills,Living,Metro
792,N Pershing Dr & Quebec St,Work,
793,Madrillon Rd & Boss St,Entertainment,
794,16th & Bangor St SE,Work,Bus
795,37th & Ely Pl SE,Living,Metro
796,Reston Town Center Metro South,Work,Bus
797,Towers Crescent Dr & Tysons One Pl,Entertainment,Metro
798,Madron Ln & Bermudez Ct,Entertainment,
799,Gatehouse Rd & Telestar Ct,Living,Bus
800, S Scott St & 13th St S,Work,Metro
801,King St & Kenwood Ave,Entertainment,Metro
802,N Howard St & N Imboden St,Work,Bus
803,Route 29 & Bisvey Dr,Entertainment,Metro
804,Rockville Pike & Rose Ave,Work,Bus
805,Olde Crafts Dr and Cartwright Pl,Living,
806,State Theatre / Park Pl & N Washington St,Entertainment,
807,Saint Asaph St & Pendleton  St,Work,Metro
808,1301 McCormick Dr / Wayne K. Curry Admin Bldg,Work,Metro
809,Franconia-Springfield Metro North,Entertainment,
810,Becontree Ln & Goldenrain Ct,Living,Metro
811,Pimmit Dr & Idyl Ln,Entertainment,Bus
812,Emma Lee St & Morris St,Entertainment,Metro
813,Tysons West Transit Center,Entertainment,Metro
814,Key West Ave & Great Seneca Hwy,Living,Bus
815,Meridian High School / Haycock Rd & Leesburg Pike,Entertainment,
816,United Medical Center,Work,
817,18th & Upshur St NE,Work,
818,Arlington Blvd & Allen St,Living,Metro
819,19th & Savannah St SE,Living,
820,Radford & Osage St,Entertainment,Metro
821,Motivate BX Tech office,Entertainment,Bus
822,Kansas Ave & Tuckerman St NW / Lamond Rec ,Work,Bus
823,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,Entertainment,
824,North Village and Park Garden,Living,Metro
825,Western Ave & Pinehurst Cir NW ,Entertainment,Bus
826,White Oak Rec Center,Living,
827,Ridge Rd Community Center,Living,
828,GMU/Patriot Cir & York Dr,Work,
829,Westbranch & Jones Branch Dr,Work,Metro
830,Prosperity Ave & Avenir Pl,Living,
831,Green Range Dr and Glade Dr,Living,
832,S Wakefield St & 28th Rd S,Work,Bus
833,Seatrend Way & Topsails Ln,Living,
834,Reston Station Blvd & Sunset Hills Rd,Entertainment,Bus
835,South Dakota Ave & Decatur St NE ,Living,
836,Links Dr & Wedge Dr,Work,
837,Ring Rd & North Shore Dr,Entertainment,
838,Glade Dr & Pinecrest Rd/Cathy Hudgins Cmty Ctr,Work,Metro
839,Campus Commons,Entertainment,Bus
840,GMU/Rappahannock River Ln,Work,
841,Charles Arrington Dr & Manchester Lakes Dr ,Living,Metro
842,GMU/Horizon Hall & Harris Theater,Entertainment,Metro
843,Route 29 & Circle Woods Dr,Work,Metro
844,Medical Center Dr & Key West Ave,Entertainment,Bus
845,Old Meadow Rd & Old Meadow Ln,Entertainment,
846,21st & M St NW,Entertainment,
847,Dorr Ave & Prosperity Ave,Entertainment,Bus
848,Sunrise Valley Dr & Roland Clarke Pl,Entertainment,Bus
849,Reston Regional Library,Entertainment,Metro
850,Michigan Ave & Allison St NE,Work,
851,Vaden Dr & Royal Victoria Dr/Providence Community Center,Living,Metro
852,Shady Grove Hospital,Living,
853,Woody Ward Rec Center,Living,Metro
854,N Pitt & Wythe St,Entertainment,Metro
855,Vantage Hill Rd & Wainwright Dr,Entertainment,
856,34th St & Minnesota Ave SE,Living,
857,Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr,Living,
858,Ridge Rd & Southern Ave SE,Living,Metro
859,St. Asaph & Montgomery St,Entertainment,
860,Fairfax Blvd & Pickett Rd North,Entertainment,Metro
861,41st St & Alabama Ave SE / Fort Davis Rec,Work,
862,Tyco Rd & Boyd Pointe Way,Living,
863,George Mason Blvd & Armstrong St,Living,Bus
864,Fairfax Blvd & Pickett Rd South,Work,Metro
865,25th & S St SE ,Entertainment,
866,Chain Bridge Rd & Anderson Rd,Work,
867,School St & George Mason Blvd,Living,Metro
868,N Shore Dr & Bandit Loop,Living,Bus
869,Inlet Ct & Wiehle Dr,Living,Bus
870,Blenheim Blvd & North St,Work,
871,University Dr & Democracy Ln,Work,
872,Westbranch Dr & Maitland St,Living,
873,John McCormack Rd & Michigan Ave NE,Work,Metro
874,Long Bridge Aquatic ctr,Work,
875,Fair Woods Pkwy & Fairfax Blvd,Entertainment,Bus
876,Kenwood Ave & Osage St,Work,Metro
877,Hilltop Rd & Willowmere Dr ,Entertainment,
878,Layton Hall Dr & University Dr,Work,
879,Beech Dr at Draper Dr Park,Work,Bus
880,Reed and Edison,Living,Metro
881,Fairway Dr & Hook Rd,Work,
882,South St & University Dr,Entertainment,Bus
883,Kingsbridge Dr & Draper Dr,Living,
884,55th & East Capitol St NE,Entertainment,Bus
885,Ft Myer Dr & Arlington Blvd,Work,Bus
886,Walter Reed Dr & 16th St S,Entertainment,
887,Mission Square Dr & Miranda Ct,Living,Bus
888,Crabbs Branch Way & Redland Rd,Living,Metro
889,Metro Park Dr & Walker Ln ,Entertainment,Bus
890,First and Fayette,Entertainment,Metro
891,Crabbs Branch Way & Calhoun Pl,Entertainment,Bus
892,Arizona & McArthur NW,Living,Metro
893,Topsails Ln & Seatrend Way,Work,
894,1st & K NE,Work,Bus
895,John McCormack Rd & Michigan Ave NE ,Living,Metro
896,Broadbranch & Northampton NW,Entertainment,
897,Motivate Tech Office,Living,Bus
898,Broschart & Blackwell Rd,Living,Bus
899,S Wayne and 9th St,Entertainment,Bus
900,Westbranch Dr & Jones Branch Dr,Entertainment,Bus
901,18th St & Ingleside Terr NW,Work,Bus
902,MTL-ECO5-03,Entertainment,
903,Wilson Blvd & Oak st,Work,
904,W&OD Trail bridge & N Washington St,Entertainment,Bus
905,21st NW & E St NW,Entertainment,Metro
906,N Moore St & Rosslyn Metro,Work,Bus
907,Minnesota Ave & D St SE ,Work,Bus
908,10th & Rhode Island Ave NE,Living,Metro
909,Roland Clarke Pl & Sunrise Valley Dr,Entertainment,Metro
