start_station_name,casual_count,member_count
12th St & Pennsylvania Ave SE,7223,18653
15th & K St NW,11029,18585
21st St & Pennsylvania Ave NW,8300,18543
1st & N St SE,15037,18156
13th & O St NW/ Logan Circle,7598,17758
14th & Harvard St NW,6628,17735
15th & F St NE,6091,17653
8th & East Capitol St NE,8395,17350
Wisconsin Ave & Newark St NW,11186,17168
34th & Water St NW,21714,17131
M St & New Jersey Ave SE,10024,17090
9th & Upshur St NW,9069,16979
Calvert & Biltmore St NW,8086,16894
15th St & Constitution Ave NW,55541,16616
Gravelly Point,32033,16372
Rosslyn Metro / Wilson Blvd & N Moore St,10733,16363
4th St & K St NW,8352,16219
39th & Calvert St NW / Stoddert,9852,16174
Court House Metro / 15th St & N Uhle St,8260,16127
Hains Point/Buckeye & Ohio Dr SW,17995,16109
10th St & Constitution Ave NW,31387,16104
11th & Clifton St NW,5403,16074
1st St & Potomac Ave SE,13050,16007
10th & H St NE,7585,15998
L'Enfant Plaza / 7th & C St SW,19047,15745
3000 Connecticut Ave NW / National Zoo,7923,15452
8th & Eye St SE / Barracks Row,8949,15289
11th & V St NW,6275,15231
2nd St & Seaton Pl NE,6811,15203
8th & K St NE,7262,15082
11th & F St NW,10307,15004
New Jersey Ave & H St SE,10959,14989
19th St & Pennsylvania Ave NW,6506,14957
Ballston Metro / Stuart St & 9th St N,8477,14644
15th St & Pennsylvania Ave NW,38894,14531
14th St & New York Ave NW,12110,14479
17th St & Independence Ave SW,56410,14465
Eads St & 12th St S,11426,14356
4th & W St NE,7991,14315
17th St & Rhode Island Ave NW,6373,14092
New York Ave & 15th St NW,15989,13981
5th & Morse St NE,7833,13725
Kennedy Center,11389,13650
7th St & Florida Ave NW,6309,13607
Tenleytown / Wisconsin Ave & Albemarle St NW,6961,13579
1st & Washington Hospital Center NW,7192,13436
Fort Totten Metro,9864,13334
Thomas Jefferson St NW & Water/K St NW,13723,13096
North Capitol St & G Pl NE,6107,12974
Kansas Ave & Sherman Cr NW,8076,12877
Crystal City Metro / 18th St & S Bell St,8530,12820
Pentagon City Metro / 12th St & S Hayes St,9700,12778
New Jersey Ave & K St NW,6626,12751
9th & G St NW,7987,12389
Edgewood Rec Center,5650,12289
4th & D St NW / Judiciary Square,5232,12186
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38699,12080
Van Ness Metro / UDC,6088,11924
Maryland Ave & 17th St NE,6962,11899
Rhode Island Ave Metro,7546,11878
15th & Euclid St  NW,4755,11830
N Lynn St & Fairfax Dr,6933,11712
19th & East Capitol St SE,5126,11652
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,5507,11551
Virginia Square Metro / Monroe St & 9th St N,7665,11531
Grant Circle,7748,11404
13th & E St SE,4783,11369
3rd & M St SE,2448,11299
3rd & N St NE,6030,11220
Oklahoma Ave & D St NE,4681,11184
US Dept of State / Virginia Ave & 21st St NW,4994,11160
Montello Ave & Holbrook Terr NE,6939,11142
Takoma Metro,7238,10952
Wilson Blvd & N Quincy St,7312,10787
Clarendon Blvd & Pierce St,5619,10624
Neal St & Trinidad Ave NE,4550,10522
Independence Ave & L'Enfant Plaza SW/DOE,16795,10497
4th St & G St SW,5429,10453
14th & D St NW / Ronald Reagan Building,11289,10260
7th & E St SW,8607,10222
Harvard St & Adams Mill Rd NW,9498,10138
Roosevelt Island,21712,10096
Connecticut Ave & Macomb St NW / Cleveland Park,4975,9921
Crystal Dr & 15th St S,8460,9896
Crystal Dr & 20th St S,8869,9832
Hamlin & 7th St NE,5337,9823
19th & I St NW,3761,9795
14th St & Colorado Ave NW,6089,9761
