start_station_name,casual_count,member_count
17th St & Potomac Ave SE / Congressional Cemetery ,231,407
New Hampshire & Kirklynn Ave,924,403
Radford St & Osage St,564,403
King Farm Blvd & Piccard Dr,1033,396
Wheaton Library & Community Rec Center,690,396
Greenbelt Station Parkway,985,394
Windham Ln & Amherst Ave,1038,394
Hartland Rd & Harte Pl,437,392
Lyttonsville Rd & Lyttonsville Pl,1005,379
Westpark Dr & Leesburg Pike,820,356
Pooks Hill Rd & Linden Ave,1422,355
Motivate BX Tech office,0,353
Westpark & Jones Branch Dr,751,352
Kenilworth Terrace & Hayes St. NE,765,350
Columbus Ave & Gramercy Blvd,386,350
Merrilee Dr & Lauren Elizabeth Lane,1537,349
Reston Town Center Transit Station,1409,347
Montgomery College / W Campus Dr & Mannakee St,358,341
Golf Course Sq and Golf Course Dr,410,340
Jones Branch Dr & Blyton St,300,333
Frederick Ave & Horners Ln,398,333
Ridge Heights and Owl Cove Ln,284,330
Jones Branch & Westbranch Dr,348,330
Amherst Ave & Elkins St,891,327
Spring Hill Metro,683,326
Roosevelt Center & Crescent Rd,539,324
Briggs Chaney Park & Ride,751,324
Jones Branch Drive & Scotts Crossing Rd,262,324
Town Center Pkwy & Sunset Hills Rd,753,319
Shirlington Transit Center / Quincy St & Randolph St,580,317
W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,1134,315
Fleet St & Waterfront St,3542,314
Fishers Ln & Rock Creek Mill Rd,414,311
Marion Barry Ave & Naylor Rd SE,182,309
Town Center Pkwy & Bowman Towne Dr,460,298
Baron Cameron Ave & North Hampton Ave,623,295
Kenmore Ave & Seminary Rd,717,289
W&OD Trail & Explorer St/Reston Bus Station,792,285
N Pershing Dr & Quebec St,185,285
Needwood Rd & Eagles Head Ct,515,283
Marymount University / Yorktown Blvd & 26th St N,318,281
Northwestern High School,968,280
George Mason High School / Haycock Rd & Leesburg Pike,242,280
Takoma Park Rec Center,615,278
Columbia Pike & S Oakland St,432,278
Crystal Dr & Potomac Ave,291,276
Tysons Metro South,437,274
Greensboro Metro East,296,270
Duke St & Jordan St,643,267
North Shore & Cameron Crescent Dr/Crescent Apartments,417,263
Westpark & Park Run Dr,557,258
53rd & D St SE/C.W. Harris Elementary,601,257
Southern Ave Metro,373,257
 S Scott St & 13th St S,185,244
Fillmore & Bisdorf,349,241
Oxon Hill Park & Ride,505,240
Fallsgrove Blvd & Fallsgrove Dr,858,240
South Dakota Ave & 33rd St NE,354,240
South Capitol St and Southern Ave SE,290,236
Van Dorn Metro,291,230
Rockville Pike & Rose Ave,182,230
Columbia Pike & S Taylor St,564,229
New Dominion Pkwy & Fountain Dr,830,229
Saint Asaph St & Pendleton  St,177,228
Old Meadow Rd & Cathy Ln,293,221
Madron Ln & Bermudez Ct,223,220
Fort Stanton Rec Center,389,219
W&OD Trail/Sunset Hills Rd & Old Reston Ave,826,218
S Jordan St & Venable St,475,217
Madrillon Rd & Boss St,249,216
Vy Reston Heights,979,214
Temporary Rd & Old Reston Ave,896,213
Greensboro & Pinnacle Dr,490,209
Largo Town Center Metro,905,206
S Reynolds St & Edsall Rd,352,203
Towers Crescent Dr & Tysons One Pl,247,201
Amherst Ave & Prichard Rd,696,200
Whiting & Lane Dr,404,200
State Theatre / Park Pl & N Washington St,213,198
Greensboro & International Dr,371,195
Reston Town Center Metro South,258,193
37th & Ely Pl SE,262,190
Castle Blvd & Castle Ln,1040,178
Meridian High School / Haycock Rd & Leesburg Pike,203,176
South Dakota Ave & Decatur St NE ,100,176
Kansas Ave & Tuckerman St NW / Lamond Rec ,159,174
Market St & St Francis St,556,173
Olde Crafts Dr and Cartwright Pl,239,172
Lake Newport Rd and Autumn Ridge Cir,357,163
Reston Pkwy & Spectrum Dr,502,163
Crescent Rd & Ridge Rd,441,160
King St & Kenwood Ave,262,159
Blueridge Ave & Elkin St,583,159
N Howard St & N Imboden St,269,152
21st & M St NW,62,149
Emma Lee St & Morris St,243,149
New Hampshire & Lockwood,493,148
North Shore Dr & Village Rd,754,146
Ridge Rd Community Center,181,140
Sunset Hills & Old Reston Ave,1099,139
Arlington Blvd & Allen St,235,138
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,192,137
Virginia Theological Seminary,603,134
Radford & Osage St,228,132
Oak Leaf & Lockwood,605,131
The Shoppes @ Burnt Mills,342,130
Tysons West Transit Center,261,130
United Medical Center,248,130
Soapstone Dr Convenience Center,418,127
Woody Ward Rec Center,64,127
Reston Pkwy & Bennington Woods Rd,400,126
South Lakes Dr and Reston Pkwy,371,123
Tysons One Pl & Chain Bridge Rd,617,121
Gatehouse Rd & Telestar Ct,310,121
34th St & Minnesota Ave SE,59,120
Westbranch & Jones Branch Dr,182,120
GMU/Patriot Cir & York Dr,192,119
Prosperity Ave & Avenir Pl,181,119
Pimmit Dr & Idyl Ln,274,119
Michigan Ave & Allison St NE,78,118
S Wakefield St & 28th Rd S,169,118
16th & Bangor St SE,346,117
Briggs Chaney & Castle Dr,830,116
Western Ave & Pinehurst Cir NW ,208,114
Franconia-Springfield Metro North,285,112
18th & Upshur St NE,267,109
N Pitt & Wythe St,84,106
Old Meadow Rd & Old Meadow Ln,109,104
South Gate Community Center,420,104
Rockville Pike & Meeting St,395,102
N Shore Dr & Wainwright Dr,403,102
25th & S St SE ,42,100
GMU/Rappahannock River Ln,132,100
Key West Ave & Siesta Key Way,638,99
Route 29 & Circle Woods Dr,126,94
19th & Savannah St SE,271,93
Traville Gateway Dr & Gudelsky Dr,412,92
Key West Ave & Diamondback Dr,500,92
Reston Station Blvd & Sunset Hills Rd,188,90
GMU/Horizon Hall & Harris Theater,141,90
Fallsgrove Dr & W Montgomery Ave,1038,87
Route 29 & Bisvey Dr,328,87
Dorr Ave & Prosperity Ave,121,85
Corporate Blvd & Omega Dr,497,82
41st St & Alabama Ave SE / Fort Davis Rec,76,82
Tyco Rd & Boyd Pointe Way,74,81
White Oak Transit Center,431,80
Links Dr & Wedge Dr,196,78
St. Asaph & Montgomery St,82,78
John McCormack Rd & Michigan Ave NE,29,78
Ridge Rd & Southern Ave SE,90,78
Shady Grove Hospital,117,75
Largo Rd & Campus Way / Prince Georges's Comm Col,758,70
White Oak Rec Center,251,70
1301 McCormick Dr / Wayne K. Curry Admin Bldg,335,69
Campus Commons,176,69
Stewart Ln & Old Columbia Pike,435,68
Ring Rd & North Shore Dr,198,64
Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr,109,61
Medical Center Dr & Key West Ave,158,60
Vaden Dr & Royal Victoria Dr/Providence Community Center,135,60
Blenheim Blvd & North St,71,58
Long Bridge Aquatic ctr,50,56
North Village and Park Garden,269,54
Fairfax Blvd & Pickett Rd South,89,54
N Shore Dr & Bandit Loop,83,54
Green Range Dr and Glade Dr,246,52
Hilltop Rd & Willowmere Dr ,44,52
Becontree Ln & Goldenrain Ct,346,51
Key West Ave & Great Seneca Hwy,331,49
Fairfax Blvd & Pickett Rd North,111,49
George Mason Blvd & Armstrong St,104,48
Chain Bridge Rd & Anderson Rd,92,48
Charles Arrington Dr & Manchester Lakes Dr ,183,48
Seatrend Way & Topsails Ln,236,45
55th & East Capitol St NE,21,45
School St & George Mason Blvd,96,44
Stewart & April,437,43
Vantage Hill Rd & Wainwright Dr,147,40
Layton Hall Dr & University Dr,51,40
Westbranch Dr & Maitland St,71,39
Inlet Ct & Wiehle Dr,93,38
Glade Dr & Pinecrest Rd/Cathy Hudgins Cmty Ctr,217,38
Ft Myer Dr & Arlington Blvd,17,37
University Dr & Democracy Ln,85,36
Reston Regional Library,161,36
Beech Dr at Draper Dr Park,56,34
Reed and Edison,50,34
South St & University Dr,42,33
Kenwood Ave & Osage St,65,33
Fair Woods Pkwy & Fairfax Blvd,74,30
Kingsbridge Dr & Draper Dr,45,26
Sunrise Valley Dr & Roland Clarke Pl,176,21
Metro Park Dr & Walker Ln ,10,17
Fairway Dr & Hook Rd,62,17
Mission Square Dr & Miranda Ct,13,16
Walter Reed Dr & 16th St S,29,12
Topsails Ln & Seatrend Way,9,11
John McCormack Rd & Michigan Ave NE ,4,10
1st & K NE,5,9
Arizona & McArthur NW,14,9
First and Fayette,17,8
Motivate Tech Office,0,8
S Wayne and 9th St,0,5
Broadbranch & Northampton NW,8,4
Westbranch Dr & Jones Branch Dr,0,3
Wilson Blvd & Oak st,0,2
MTL-ECO5-03,0,2
21st NW & E St NW,0,2
18th St & Ingleside Terr NW,0,2
W&OD Trail bridge & N Washington St,0,2
Crabbs Branch Way & Calhoun Pl,23,1
Crabbs Branch Way & Redland Rd,27,1
Broschart & Blackwell Rd,7,1
Roland Clarke Pl & Sunrise Valley Dr,1,0
Minnesota Ave & D St SE ,1,0
N Moore St & Rosslyn Metro,1,0
10th & Rhode Island Ave NE,1,0
